ID,Name,Category,Servings,Prep Time (min),Description
1,"Asian Braised Pork, white rice, Rainbow carrots",prepared_meal,1,30,"Asian Braised Pork, white rice, Rainbow carrots"
2,"BBQ Orange Chicken with Gochujang Potatoes & Carroots",prepared_meal,1,30,"BBQ Orange Chicken with Gochujang Potatoes & Carroots"
3,"BBQ chicken Potatoes, Zucchini",prepared_meal,1,30,"BBQ chicken Potatoes, Zucchini"
4,"BBQ pulled Porc, Potatoes, Green Beans",prepared_meal,1,30,"BBQ pulled Porc, Potatoes, Green Beans"
5,"Balsamic Braised Beef with Potatoes & Mixed Veggies",prepared_meal,1,30,"Balsamic Braised Beef with Potatoes & Mixed Veggies"
6,"Balsamic chicken strawberry feta",prepared_meal,1,30,"Balsamic chicken strawberry feta"
7,"Beef Kefta Turmeric Rice Chickpeas Peppers",prepared_meal,1,30,"Beef Kefta Turmeric Rice Chickpeas Peppers"
8,"Beef Kefta, lemon dill rice, Peppers & Yogurt sauce",prepared_meal,1,30,"Beef Kefta, lemon dill rice, Peppers & Yogurt sauce"
9,"Blackened chicken quinoa sweet potato bowl, parsley cauliflower",prepared_meal,1,30,"Blackened chicken quinoa sweet potato bowl, parsley cauliflower"
10,"Braised beef & rice",prepared_meal,1,30,"Braised beef & rice"
11,"Braised french chuck Potatoes Cauliflower",prepared_meal,1,30,"Braised french chuck Potatoes Cauliflower"
12,"Carnitas Pork, Corn and Potatoes",prepared_meal,1,30,"Carnitas Pork, Corn and Potatoes"
13,"Chicken & Pasta Al Limone with zucchini",prepared_meal,1,30,"Chicken & Pasta Al Limone with zucchini"
14,"Chicken Chimichurri",prepared_meal,1,30,"Chicken Chimichurri"
15,"Chicken Chimichurri Sweet Potatoes",prepared_meal,1,30,"Chicken Chimichurri Sweet Potatoes"
16,"Chicken Fried Rice",prepared_meal,1,30,"Chicken Fried Rice"
17,"Chicken Fried Rice (Broccoli, Edamame, carrots)",prepared_meal,1,30,"Chicken Fried Rice (Broccoli, Edamame, carrots)"
18,"Chicken Kefta Parsley Rice",prepared_meal,1,30,"Chicken Kefta Parsley Rice"
19,"Chicken Kefta Pita and Mixed Vaggies",prepared_meal,1,30,"Chicken Kefta Pita and Mixed Vaggies"
20,"Chicken Kefta, Lemon Dill Potatoes , Broccoli, Yogurt Sauce",prepared_meal,1,30,"Chicken Kefta, Lemon Dill Potatoes , Broccoli, Yogurt Sauce"
21,"Chicken Kefta, Pita, Hummus, Peppers & Red onions",prepared_meal,1,30,"Chicken Kefta, Pita, Hummus, Peppers & Red onions"
22,"Chicken Orzo Salad",prepared_meal,1,30,"Chicken Orzo Salad"
23,"Chicken Pasta",prepared_meal,1,30,"Chicken Pasta"
24,"Chicken Peruvian",prepared_meal,1,30,"Chicken Peruvian"
25,"Chicken Pesto Pasta Salad tomatoes",prepared_meal,1,30,"Chicken Pesto Pasta Salad tomatoes"
26,"Chicken Potatoes Carrots",prepared_meal,1,30,"Chicken Potatoes Carrots"
27,"Chicken Potatoes and Carrottes",prepared_meal,1,30,"Chicken Potatoes and Carrottes"
28,"Chicken Potatoess arrots",prepared_meal,1,30,"Chicken Potatoess arrots"
29,"Chicken Quinoa Sweet Potato Bowl",prepared_meal,1,30,"Chicken Quinoa Sweet Potato Bowl"
30,"Chicken Rice and Peppers",prepared_meal,1,30,"Chicken Rice and Peppers"
31,"Chicken al pastor with cilantro lime rice, corn & bean salad",prepared_meal,1,30,"Chicken al pastor with cilantro lime rice, corn & bean salad"
32,"Chicken fried Rice",prepared_meal,1,30,"Chicken fried Rice"
33,"Chicken fried rice",prepared_meal,1,30,"Chicken fried rice"
34,"Chicken with roasted potatoes and peppers",prepared_meal,1,30,"Chicken with roasted potatoes and peppers"
35,"Chipotle lime Chicken Taco Bowl (Pico)",prepared_meal,1,30,"Chipotle lime Chicken Taco Bowl (Pico)"
36,"Coffee marinated steak, Potatoes & Green Beans",prepared_meal,1,30,"Coffee marinated steak, Potatoes & Green Beans"
37,"Creamy Ground turkey Pasta with zucchini",prepared_meal,1,30,"Creamy Ground turkey Pasta with zucchini"
38,"Creamy Lemon Spinach Turkey Pasta",prepared_meal,1,30,"Creamy Lemon Spinach Turkey Pasta"
39,"Creamy Tomato Garlic Pasta, Tuscan Chicken, Zucchini",prepared_meal,1,30,"Creamy Tomato Garlic Pasta, Tuscan Chicken, Zucchini"
40,"Cuban Mojo Porc Rice bowl with corn & Bean salad Aji verde",prepared_meal,1,30,"Cuban Mojo Porc Rice bowl with corn & Bean salad Aji verde"
41,"Garlic Spinach Turkey Meatballs, Lemon Parsley rice, Mixed veggies",prepared_meal,1,30,"Garlic Spinach Turkey Meatballs, Lemon Parsley rice, Mixed veggies"
42,"Ginger Lime Ground Turkey with coconut rice & Asparagus & Peppers",prepared_meal,1,30,"Ginger Lime Ground Turkey with coconut rice & Asparagus & Peppers"
43,"Ginger Orange shredded beef sweet potato bowl, asparagus",prepared_meal,1,30,"Ginger Orange shredded beef sweet potato bowl, asparagus"
44,"Ginger orange braised beef, Rice, Green beans",prepared_meal,1,30,"Ginger orange braised beef, Rice, Green beans"
45,"Greek Chicken Quinoa Salad (Carrots, Peppers, zucchini)",prepared_meal,1,30,"Greek Chicken Quinoa Salad (Carrots, Peppers, zucchini)"
46,"Greek Ckicken Dill Feta Vinaigrette & Orzo",prepared_meal,1,30,"Greek Ckicken Dill Feta Vinaigrette & Orzo"
47,"Greek Ground Turkey",prepared_meal,1,30,"Greek Ground Turkey"
48,"Greek Ground Turkey Yellow Rice Peppers Yogurt Sauce",prepared_meal,1,30,"Greek Ground Turkey Yellow Rice Peppers Yogurt Sauce"
49,"Greek Ground turkey yellow rice mixed veggies",prepared_meal,1,30,"Greek Ground turkey yellow rice mixed veggies"
50,"Ground Beef Gochujang White Rice Vaggies",prepared_meal,1,30,"Ground Beef Gochujang White Rice Vaggies"
51,"Ground Beef Rice and Beans and corn",prepared_meal,1,30,"Ground Beef Rice and Beans and corn"
52,"Ground Turkey Pasta Zucchini",prepared_meal,1,30,"Ground Turkey Pasta Zucchini"
53,"Ground Turkey, Rice, Peppers",prepared_meal,1,30,"Ground Turkey, Rice, Peppers"
54,"Ground beef Korean carrrots",prepared_meal,1,30,"Ground beef Korean carrrots"
55,"Ground beef chimichuri, Rice and Bean and Corn Salad",prepared_meal,1,30,"Ground beef chimichuri, Rice and Bean and Corn Salad"
56,"Ground beef chimichurri sweet potato",prepared_meal,1,30,"Ground beef chimichurri sweet potato"
57,"Ground beef chimichurri sweet potato trio veggie",prepared_meal,1,30,"Ground beef chimichurri sweet potato trio veggie"
58,"Ground beef sweet potato bowl with broccoli",prepared_meal,1,30,"Ground beef sweet potato bowl with broccoli"
59,"Honey Lime chicken & Rice, corn & mango salsa",prepared_meal,1,30,"Honey Lime chicken & Rice, corn & mango salsa"
60,"Italian Chicken and Pasta",prepared_meal,1,30,"Italian Chicken and Pasta"
61,"Jamaican Pineapple Jerk Chicken With Rice Peppers",prepared_meal,1,30,"Jamaican Pineapple Jerk Chicken With Rice Peppers"
62,"Kale Quinoa Salad with beef meatballs",prepared_meal,1,30,"Kale Quinoa Salad with beef meatballs"
63,"Korean BBQ Beef with Broccoli & Sweet Potato Trio",prepared_meal,1,30,"Korean BBQ Beef with Broccoli & Sweet Potato Trio"
64,"Korean Ground Beef Sweet Potato Bowl with broccoli",prepared_meal,1,30,"Korean Ground Beef Sweet Potato Bowl with broccoli"
65,"Korean Ground beef, Sweet potato Trio, Broccoli",prepared_meal,1,30,"Korean Ground beef, Sweet potato Trio, Broccoli"
66,"Lemon Chicken Zaatar potatoes, Veggies",prepared_meal,1,30,"Lemon Chicken Zaatar potatoes, Veggies"
67,"Marinated Steak & Potatoes, Broccoli",prepared_meal,1,30,"Marinated Steak & Potatoes, Broccoli"
68,"Marinated Steak, Garlic & Herbes Potatoes, Green beans",prepared_meal,1,30,"Marinated Steak, Garlic & Herbes Potatoes, Green beans"
69,"Mediteranean Ground Beef stir fry with mixed veggies",prepared_meal,1,30,"Mediteranean Ground Beef stir fry with mixed veggies"
70,"Mediteranean Ground Turkey, Quinoa&Tomatoes hot honey pickled onions",prepared_meal,1,30,"Mediteranean Ground Turkey, Quinoa&Tomatoes hot honey pickled onions"
71,"Mojo Porc, Yuka Southwestern corn & Sauce",prepared_meal,1,30,"Mojo Porc, Yuka Southwestern corn & Sauce"
72,"Mustard Chicken & Potatoes Asparagus",prepared_meal,1,30,"Mustard Chicken & Potatoes Asparagus"
73,"Orange Cilantro Chicken, Potatoes & Peppers, Aji verde",prepared_meal,1,30,"Orange Cilantro Chicken, Potatoes & Peppers, Aji verde"
74,"Orange Cilantro chicken Quinoa Salad",prepared_meal,1,30,"Orange Cilantro chicken Quinoa Salad"
75,"Orzo salad chicken",prepared_meal,1,30,"Orzo salad chicken"
76,"Pasta Salad Grilled chicken",prepared_meal,1,30,"Pasta Salad Grilled chicken"
77,"Pasta turkey and Zucchini",prepared_meal,1,30,"Pasta turkey and Zucchini"
78,"Pesto Chicken & Potatoes, Asparagus",prepared_meal,1,30,"Pesto Chicken & Potatoes, Asparagus"
79,"Pesto Chicken, Potatoes, Veggies",prepared_meal,1,30,"Pesto Chicken, Potatoes, Veggies"
80,"Porc Tenderloin with creamy mustard Sauce Potatoes & Cauliflower",prepared_meal,1,30,"Porc Tenderloin with creamy mustard Sauce Potatoes & Cauliflower"
81,"Porc Tenderloines, Potatoes asperagus",prepared_meal,1,30,"Porc Tenderloines, Potatoes asperagus"
82,"Quinoa Sweet Potato, Chicken with honey mustard",prepared_meal,1,30,"Quinoa Sweet Potato, Chicken with honey mustard"
83,"Quinoa beef Bowl",prepared_meal,1,30,"Quinoa beef Bowl"
84,"Slow Cooked Orange ginger beef & rice with mixed veggis",prepared_meal,1,30,"Slow Cooked Orange ginger beef & rice with mixed veggis"
85,"Slow cooked balsamic chuck with",prepared_meal,1,30,"Slow cooked balsamic chuck with"
86,"Slow cooked beef Potatoes Veggie",prepared_meal,1,30,"Slow cooked beef Potatoes Veggie"
87,"Slow cooked beef with rice & veggies",prepared_meal,1,30,"Slow cooked beef with rice & veggies"
88,"Spinach Garlic Turkey Meatballs, Orzo Salad (Peppers, sundried, zucchini)",prepared_meal,1,30,"Spinach Garlic Turkey Meatballs, Orzo Salad (Peppers, sundried, zucchini)"
89,"Spinach Garlic Turkey Meatballs, Potatoes, Asparagus",prepared_meal,1,30,"Spinach Garlic Turkey Meatballs, Potatoes, Asparagus"
90,"Spinach garlic turkey meatballs",prepared_meal,1,30,"Spinach garlic turkey meatballs"
91,"Steak Potatoes, Green Beans",prepared_meal,1,30,"Steak Potatoes, Green Beans"
92,"Steak Shawarma, Yelllow Rice, Chickpeas, Peppers",prepared_meal,1,30,"Steak Shawarma, Yelllow Rice, Chickpeas, Peppers"
93,"Steak Sweet Potatoes Broccoli",prepared_meal,1,30,"Steak Sweet Potatoes Broccoli"
94,"Steak Taco Bowl",prepared_meal,1,30,"Steak Taco Bowl"
95,"Steak Taco Bowl Peppers",prepared_meal,1,30,"Steak Taco Bowl Peppers"
96,"Steak, Potatoes, asparagus",prepared_meal,1,30,"Steak, Potatoes, asparagus"
97,"Steak, Potatoes, mixed veggies",prepared_meal,1,30,"Steak, Potatoes, mixed veggies"
98,"Sweet Potato ground beef corn",prepared_meal,1,30,"Sweet Potato ground beef corn"
99,"Sweet potato chimichurri beef bowl, corn & Zucchini, Pico",prepared_meal,1,30,"Sweet potato chimichurri beef bowl, corn & Zucchini, Pico"
100,"Thai basil ground beef Coconut Rice Carrots/wsperge",prepared_meal,1,30,"Thai basil ground beef Coconut Rice Carrots/wsperge"
101,"Turkey Meatballs Potatoes Zuccini",prepared_meal,1,30,"Turkey Meatballs Potatoes Zuccini"
102,"Tuscan Chicken with orzo salad",prepared_meal,1,30,"Tuscan Chicken with orzo salad"
103,"chicken shawarma",prepared_meal,1,30,"chicken shawarma"
